product_uid,name,value
100001.0,Bullet01,Versatile connector for various 90° connections and home repair projects
100001.0,Bullet02,Stronger than angled nailing or screw fastening alone
100001.0,Bullet03,Help ensure joints are consistently straight and strong
100001.0,Bullet04,Dimensions: 3 in. x 3 in. x 1-1/2 in.
100001.0,Bullet05,Made from 12-Gauge steel
100001.0,Bullet06,Galvanized for extra corrosion resistance
100001.0,Bullet07,Install with 10d common nails or #9 x 1-1/2 in. Strong-Drive SD screws
100001.0,Gauge,12
100001.0,Material,Galvanized Steel
100001.0,MFG Brand Name,Simpson Strong-Tie
100001.0,Number of Pieces,1
100001.0,Product Depth (in.),1.5
100001.0,Product Height (in.),3
100001.0,Product Weight (lb.),0.26
100001.0,Product Width (in.),3
100002.0,Application Method,"Brush,Roller,Spray"
100002.0,Assembled Depth (in.),6.63 in
100002.0,Assembled Height (in.),7.76 in
100002.0,Assembled Width (in.),6.63 in
100002.0,Bullet01,"Revives wood and composite decks, railings, porches and boat docks, also great for concrete pool decks, patios and sidewalks"
100002.0,Bullet02,100% acrylic solid color coating
100002.0,Bullet03,Resists cracking and peeling and conceals splinters and cracks up to 1/4 in.
100002.0,Bullet04,"Provides a durable, mildew resistant finish"
100002.0,Bullet05,Covers up to 75 sq. ft. in 2 coats per gallon
100002.0,Bullet06,"Creates a textured, slip-resistant finish"
100002.0,Bullet07,"For best results, prepare with the appropriate BEHR product for your wood or concrete surface"
100002.0,Bullet08,Actual paint colors may vary from on-screen and printer representations
100002.0,Bullet10,Colors available to be tinted in most stores
100002.0,Bullet18,"Online Price includes Paint Care fee in the following states: CA, CO, CT, ME, MN, OR, RI, VT"
100002.0,Cleanup,Soap and Water
100002.0,Color Family,Browns / Tans
100002.0,Color/Finish,Tugboat
100002.0,Concrete Use,Yes
100002.0,Container Size,1 GA-Gallon
100002.0,Coverage Area (sq. ft.),75
100002.0,Deck Use,Yes
100002.0,Interior/Exterior,Exterior
100002.0,MFG Brand Name,BEHR Premium Textured DeckOver
100002.0,Mildew Resistant,Yes
100002.0,Opacity,Solid
100002.0,Paint Product Type,Exterior Paint/Stain
100002.0,Patching & Repair Product Type,Restoration Coating
100002.0,Product Style,Cottage
100002.0,RGB Value,119:100:086
100002.0,Sealer,No
100002.0,Time before recoating (hours),6
100002.0,Tintable,No
100002.0,Transparency,Solid
100002.0,UV Resistant,Yes
100002.0,Waterproof,No
