product_uid,name,value
100148.0,Assembled Depth (in.),1.69 in
100148.0,Assembled Height (in.),48.00 in
100148.0,Assembled Width (in.),75.00 in
100148.0,Bullet01,Insulates water heater
100148.0,Bullet02,Made of fiberglass backed with foil
100148.0,Bullet03,"Versatile for gas, oil or electric water heaters"
100148.0,Bullet04,Saves energy
100148.0,Bullet05,"Easy to install, includes tape strip 3 in. x 94.5 in."
100148.0,Finish Family,Silver Metallic
100148.0,Material,Fiberglass
100148.0,MFG Brand Name,Everbilt
100148.0,Product Depth (in.),24
100148.0,Product Height (in.),7
100148.0,Product Type,Blanket/Jacket
100148.0,Product Weight (lb.),4
100148.0,Product Width (in.),8
100200.0,Amperage (amps),5
100200.0,Bag/maximum load capacity (bushels),3
100200.0,Bullet01,Coarse to fine shredding adjustment
100200.0,Bullet02,Hopper tilts to comfortable angle for easy loading; rotates 180° for compact storage
100200.0,Bullet03,"Convenient built-in storage compartment holds spare, heavy-duty, flexible cutting lines, gloves and safety glasses (gloves and glasses not included)"
100200.0,Bullet04,Extra-large 21 in. Dia funnel
100200.0,Bullet05,Circuit breaker with reset button
100200.0,Bullet06,Includes 36 cutting lines
100200.0,Certifications and Listings,4-UL Certified
100200.0,Chipper blade material,Other
100200.0,Chipper capacity (in.),21
100200.0,Commercial,No
100200.0,Cord lock,No
100200.0,Engine torque (ft.-lb.),0
100200.0,Feed capacity (in.),0
100200.0,Housing Material,Acrylonitrile Butadiene Styrene (ABS)
100200.0,Maximum extension cord length (ft.),100
100200.0,MFG Brand Name,Flowtron
100200.0,Power Type,Electric
100200.0,Product Depth (in.),21
100200.0,Product Height (in.),40
100200.0,Product Weight (lb.),20
100200.0,Product Width (in.),21
100200.0,Reconditioned,No
100200.0,Required extension cord rating,14 gauge
100200.0,Self-Feeding,No
100200.0,Start Type,Electric
100200.0,Wheels,No
100263.0,Amperage (amps),6.5
100263.0,Antivibration handle,No
100263.0,Bar Length (in.),10
100263.0,Bullet01,Sturdy 9.5 ft. extended pole for hard to reach branches
100263.0,Bullet02,Automatic oiling system ensures constant bar and chain lubrication
100263.0,Bullet03,Inline motor for direct pruning and clear line of sight
100263.0,Bullet04,Clear oil window for easy to gauge oil level
100263.0,Case Included,No
100263.0,Certifications and Listings,"1-UL Listed,ANSI Certified,CSA Listed"
100263.0,Chain brake,Yes
100263.0,Chain size,10 in.
100263.0,Chain tension adjustment,Yes
100263.0,Chainsaw Type,Pole Chainsaw/ Pruner
100263.0,Commercial,No
100263.0,Cord Length (ft.),0
100263.0,Maximum cut diameter (in.),10
100263.0,Maximum extension cord length (ft.),50
100263.0,Maximum pole length (ft.),9.5
100263.0,MFG Brand Name,BLACK+DECKER
100263.0,Product Depth (in.),68.313
100263.0,Product Height (in.),3.75
100263.0,Product Weight (lb.),9
100263.0,Product Width (in.),6.438
100263.0,Reconditioned,No
100263.0,Required extension cord rating,16 gauge
100263.0,Telescoping,No
100293.0,Assembled Depth (in.),.210 in
100293.0,Assembled Height (in.),2.75 in
100293.0,Assembled Width (in.),0.21 in
100293.0,Brand compatibility,Azek Trim
100293.0,Bullet01,"Fast and easy: eliminates the need to calk, sand and paint each nail hole"
100293.0,Bullet02,Plugs made out of same AZEK material as trim. Eliminates fading or streaking
100293.0,Bullet03,Can be painted
100293.0,Bullet04,Guaranteed corrosion resistance for life of the project. ACQ approved
100293.0,Bullet05,"Packaging comes with everything needed – screws, plugs, and setting tool"
100293.0,Coated,Y
100293.0,Drive Style,Internal Square
100293.0,Driver bit included,Yes
100293.0,Fastener Callout Size,"2-3/4"""
100293.0,Fastener Head Style,Button
100293.0,Fastener length (in.),2.75
100293.0,Fastener Plating,Other
100293.0,Fastener Thread Type,Coarse
